FPA_ID,FIRE_YEAR,FIRE_NAME,DISCOVERY_DATE,DISCOVERY_DOY,CAUSE_CLASS,GENERAL_CAUSE,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,MONTH
SFO-2004CACDFTCU007413,2004,PATTISON                 ,2004-09-03,247,Human,Equipment and vehicle use,2476.0,F,38.19888888,-120.89888888,7
W-567689,2004,IRONGATE,2004-07-24,206,Natural,Natural,2400.0,F,41.953881,-122.450639,11
W-220999,2004,HETCHY,2004-10-15,289,Human,Arson/incendiarism,2310.0,F,37.9544,-119.7246,10
FS-394796,2004,PLEASURE,2004-04-25,116,Human,Missing data/not specified/undetermined,2300.0,F,33.49194444,-116.82333333,8
ICS209_2004_CA-MCP-001042,2004,INDIA,2004-05-02,123,Missing data/not specified/undetermined,Missing data/not specified/undetermined,2040.0,F,33.369167,-117.3175,9
W-566952,2004,OREGON,2004-08-11,224,Human,Equipment and vehicle use,2030.0,F,39.591,-121.512169,11
W-124917,2004,BORDER 16,2004-09-13,257,Human,Debris and open burning,1880.0,F,32.6001,-116.5509,3
W-121476,2004,COTTONWOOD,2004-05-12,133,Human,Recreation and ceremony,1845.0,F,33.9833,-116.6689,11
FS-399922,2004,EARLY,2004-08-09,222,Human,Power generation/transmission/distribution,1750.0,F,37.86944444,-119.96222222,9
FWS-2004CALURA8KU,2004,PELICAN SJR,2004-07-19,201,Human,Arson/incendiarism,1500.0,F,37.613,-121.16799999999999,9
SFO-2004CACDFMMU017290,2004,OLD HIGHWAY              ,2004-09-12,256,Human,Arson/incendiarism,1347.0,F,37.49805555,-119.96694444,11
FS-400777,2004,EAST,2004-08-07,220,Human,Equipment and vehicle use,1330.0,F,34.57388889,-118.69222222,11
W-566994,2004,GATOS,2004-07-11,193,Human,Equipment and vehicle use,1307.0,F,36.233819,-120.560469,7
SFO-2004CACDFSCU004410,2004,KINCAID                  ,2004-08-08,221,Human,Equipment and vehicle use,1246.0,F,37.39611111,-121.655,11
SFO-2004CACDFLNU006675,2004,CEMENT                   ,2004-09-04,248,Human,Missing data/not specified/undetermined,1200.0,F,38.30888888,-121.97888888,10
FS-401771,2004,CACHUMA,2004-05-03,124,Human,Equipment and vehicle use,1127.0,F,34.71972222,-119.91138889,7
ICS209_2004_CA-BDF-9304,2004,RUNWAY,2004-09-07,251,Missing data/not specified/undetermined,Missing data/not specified/undetermined,1007.0,F,34.033333,-117.46666699999999,7
W-125599,2004,STEPHEN,2004-08-08,221,Human,Other causes,955.0,E,39.0777,-120.9377,1
W-124549,2004,STONEY,2004-08-13,226,Natural,Natural,910.0,E,40.5682,-120.193,3
ICS209_2004_CA-SQF-1461,2004,CRAG,2004-06-16,168,Natural,Natural,871.0,E,36.149722,-118.129167,4
W-125723,2004,CHUCKER,2004-08-16,229,Natural,Natural,862.0,E,35.9236,-117.5112,5
FS-397385,2004,CITRUS,2004-07-22,204,Human,Missing data/not specified/undetermined,830.0,E,33.71138889,-116.9025,6
FS-403077,2004,TUOLUMNE,2004-09-12,256,Human,Missing data/not specified/undetermined,800.0,E,37.84777778,-120.04111111,7
FS-399996,2004,FREDS'S,2004-09-22,266,Human,Arson/incendiarism,768.0,E,36.23333333,-121.46916667,7
SFO-2004CACDFTUU004886,2004,FRAZIER                  ,2004-05-07,128,Human,Equipment and vehicle use,750.0,E,36.20305555,-118.965,7
SFO-2004CACDFSCU003829,2004,CORRAL HOLLOW            ,2004-07-10,192,Human,Equipment and vehicle use,700.0,E,37.65611111,-121.485,7
FS-393571,2003,CEDAR,2003-10-25,298,Human,Recreation and ceremony,280059.0,G,32.98555556,-116.7275,12
ICS209_2003_CA-VNC-03080298,2003,SIMI INCIDENT,2003-10-25,298,Missing data/not specified/undetermined,Missing data/not specified/undetermined,108204.0,G,34.384722,-118.6675,7
FS-390261,2003,OLD,2003-10-25,298,Human,Arson/incendiarism,91281.0,G,34.19694444,-117.27611111,7
FS-388185,2003,PIRU,2003-10-23,296,Human,Equipment and vehicle use,63720.0,G,34.4875,-118.75888889,7
FS-390260,2003,GRAND PRIX,2003-10-21,294,Human,Arson/incendiarism,59788.0,G,34.16833333,-117.48138889,7
FS-393709,2003,PARADISE,2003-10-26,299,Human,Arson/incendiarism,56427.0,G,33.25555556,-116.95277778,7
W-120086,2003,OTAY,2003-10-26,299,Human,Missing data/not specified/undetermined,47921.0,G,32.5667,-116.7675,7
ICS209_2003_CA-SCU-003581,2003,SANTA CLARA COMPLEX,2003-08-25,237,Natural,Natural,30170.0,G,37.0,-121.5,7
W-116570,2003,COYOTE,2003-07-16,197,Natural,Natural,19575.8,G,33.4328,-116.7453,7
W-565844,2003,LIGHTNING HONEYDEW4M,2003-09-03,246,Natural,Natural,13846.0,G,40.174369,-124.073169,8
SFO-2003CACDFRRU015024,2003,LOCAL                    ,2003-02-23,54,Human,Debris and open burning,12000.0,G,33.67805555,-116.20805555,8
SFO-2003CACDFHUU004501,2003,CANOE                    ,2003-09-03,246,Natural,Natural,11036.0,G,40.29,-123.94,8
FS-392895,2003,PADUA,2003-10-25,298,Human,Arson/incendiarism,10446.0,G,34.18583333,-117.68222222,8
ICS209_2003_CA-RRU-082809,2003,MOUNTAIN,2003-10-26,299,Missing data/not specified/undetermined,Missing data/not specified/undetermined,10331.0,G,33.617222,-116.98388899999999,8
FS-392261,2003,ACKLEY,2003-07-26,207,Natural,Natural,9940.0,G,41.75305556,-121.32388889,8
ICS209_2003_CA-LAC-03220027,2003,VERDALE,2003-10-24,297,Missing data/not specified/undetermined,Missing data/not specified/undetermined,8650.0,G,34.433333000000005,-118.67583300000001,8
W-119912,2003,ROBLAR 2,2003-10-21,294,Human,Equipment and vehicle use,8592.0,G,33.3692,-117.3517,12
W-214376,2003,WEST KERN,2003-08-21,233,Natural,Natural,7963.0,G,36.361,-118.41916,8
W-117157,2003,SMOKE,2003-07-21,202,Natural,Natural,7790.0,G,40.6899,-120.006,8
SFO-2003CACDFSCU001791,2003,BIRD                     ,2003-06-01,152,Human,Equipment and vehicle use,6804.0,G,37.60194444,-121.37,8
FS-391716,2003,SUMMIT,2003-08-27,239,Natural,Natural,6721.0,G,36.21805556,-118.13138889,8
FS-394522,2003,SPANISH,2003-09-28,271,Human,Recreation and ceremony,6058.0,G,39.61666667,-122.85083333,8
FS-392254,2003,CHILCOOT COMPLEX,2003-07-20,201,Natural,Natural,5635.0,G,39.76916667,-120.16027778,9
W-220856,2003,SOK,2003-07-29,210,Natural,Natural,5524.8,G,38.0606,-119.8664,8
W-116231,2003,DELPUERTO,2003-07-20,201,Natural,Natural,5018.0,G,37.4497,-121.4174,9
FS-394544,2003,DEAFY,2003-09-03,246,Natural,Natural,4696.0,F,39.51138889,-122.78472222,9
FS-390204,2003,CANYON,2003-07-25,206,Human,Arson/incendiarism,4300.0,F,33.79444444,-116.89444444,9
FS-387254,2003,MUDD,2003-08-31,243,Natural,Natural,4102.0,F,38.42472222,-119.96111111,9
FS-393016,2003,LOMA,2003-09-14,257,Human,Missing data/not specified/undetermined,3740.0,F,40.76777778,-123.31916667,9
W-214346,2003,WILLIAMS,2003-07-28,209,Natural,Natural,3471.0,F,36.71499,-118.69571,9
FS-392087,2003,MOUNTAIN,2003-07-20,201,Natural,Natural,3090.0,F,38.13111111,-119.88638889,9
ICS209_2003_CA-RRU-81407,2003,PASS,2003-10-21,294,Human,Missing data/not specified/undetermined,2857.0,F,33.985556,-117.267222,9
W-220857,2003,KIBBIESUPP,2003-09-26,269,Natural,Natural,2771.9,F,38.0605,-119.8513,9
FS-385211,2003,DEXTER,2003-09-02,245,Natural,Natural,2515.0,F,37.83138889,-118.795,9
FS-393661,2003,HOOKER,2003-09-03,246,Natural,Natural,2241.0,F,36.08583333,-118.20027778,9
FWS-2003AZHVRB175,2003,LIGHTNING,2003-07-16,197,Natural,Natural,2180.0,F,35.00583333,-114.66055556,9
FS-392974,2003,HAUSER,2003-07-24,205,Human,Missing data/not specified/undetermined,2038.0,F,34.55,-118.30833333,9
SFO-2003CACDFRRU056005,2003,LOCAL                    ,2003-07-22,203,Human,Missing data/not specified/undetermined,2020.0,F,33.925,-116.88611111,9
W-119313,2003,COOPRSTOWN,2003-08-26,238,Natural,Natural,2000.0,F,37.7608,-120.52600000000001,9
SFO-2003CACDFSCU003140,2003,HOOVER                   ,2003-08-04,216,Human,Missing data/not specified/undetermined,2000.0,F,37.21111111,-121.38305555,9
SFO-2003CACDFRRU063401,2003,LOCUST                   ,2003-08-18,230,Human,Equipment and vehicle use,1898.0,F,33.98305555,-117.16388888,9
FS-393640,2003,COONEY,2003-08-01,213,Natural,Natural,1850.0,F,36.34361111,-118.53694444,7
ICS209_2003_CA-KRN-33853,2003,GRAPEVINE,2003-07-20,201,Missing data/not specified/undetermined,Missing data/not specified/undetermined,1830.0,F,34.916944,-118.918333,10
ICS209_2003_CA-RRU-50865,2003,STAGE,2003-07-04,185,Missing data/not specified/undetermined,Missing data/not specified/undetermined,1621.0,F,33.617222,-116.96722199999999,10
W-220874,2003,TUOLUMNE,2003-08-31,243,Natural,Natural,1600.0,F,37.8586,-119.7161,10
SFO-2003CACDFMMU009901,2003,152                      ,2003-06-15,166,Human,Equipment and vehicle use,1558.0,F,37.07888888,-121.20805555,10
W-566603,2003,CHIMNEY INCIDENT,2003-08-10,222,Human,Equipment and vehicle use,1500.0,F,35.114119,-120.000881,11
FS-394518,2003,HAPPY CAMP,2003-09-03,246,Natural,Natural,1481.0,F,39.54055556,-122.73527778,11
W-119788,2003,LNU MORGAN,2003-09-03,246,Natural,Natural,1465.0,F,38.8899,-122.4211,11
FS-391356,2003,BRIDGE,2003-09-05,248,Human,Missing data/not specified/undetermined,1352.0,F,34.16888889,-117.18277778,11
FS-381099,2002,MCNALLY,2002-07-21,202,Human,Recreation and ceremony,150696.0,G,35.87361111,-118.45805556,12
FS-381848,2002,PINES,2002-07-29,210,Human,Equipment and vehicle use,61690.0,G,33.1025,-116.57361111,12
FS-383531,2002,WILLIAMS,2002-09-22,265,Human,Arson/incendiarism,37240.0,G,34.23027778,-117.7875,9
FS-383584,2002,COPPER,2002-06-05,156,Human,Missing data/not specified/undetermined,23407.0,G,34.48111111,-118.55277778,12
FS-380369,2002,CANNON,2002-06-15,166,Human,Recreation and ceremony,23020.0,G,38.45611111,-119.54555556,10
FS-380579,2002,WOLF,2002-06-01,152,Human,Equipment and vehicle use,21645.0,G,34.60916667,-119.36416667,11
ICS209_2002-CA-ANF-3238,2002,CURVE,2002-09-01,244,Human,Missing data/not specified/undetermined,20857.0,G,34.267778,-117.83555600000001,11
W-112990,2002,SLINKARD,2002-07-13,194,Natural,Natural,8600.0,G,38.6471,-119.5982,12
ICS209_2002_CA-AFV-0364,2002,SUDDEN RANCH,2002-06-15,166,Missing data/not specified/undetermined,Missing data/not specified/undetermined,7782.0,G,34.559166999999995,-120.52666699999999,12
FS-380714,2002,BLUE CUT,2002-06-16,167,Human,Arson/incendiarism,6864.0,G,34.24305556,-117.40805556,12
FS-383382,2002,LOUISIANA,2002-06-26,177,Human,Equipment and vehicle use,6559.0,G,34.23611111,-117.43194444,11
FS-379745,2002,FULLER,2002-07-11,192,Natural,Natural,6400.0,G,37.05805556,-118.36861111,12
SFO-2002CACDFMVU001024,2002,GAVILAN                  ,2002-02-10,41,Human,Debris and open burning,5763.0,G,33.40888888,-117.21888888,12
FS-383449,2002,BOUQUET,2002-05-11,131,Human,Missing data/not specified/undetermined,5200.0,G,34.57138889,-118.39777778,1
FS-383520,2002,LEONA,2002-09-03,246,Human,Arson/incendiarism,5124.0,G,34.58638889,-118.32527778,1
W-111632,2002,RUSH,2002-07-13,194,Natural,Natural,5015.0,G,40.6359,-120.13123999999999,11
W-108450,2002,BOREL,2002-06-15,166,Human,Recreation and ceremony,3416.0,F,35.5947,-118.5284,6
